chunk_id,rule_number,rule_title,section_number,section_title,page_number,token_count
rule_01_section_I_chunk_001,1,COURT DIMENSIONS—EQUIPMENT,I,Court and Dimensions,3,452
rule_01_section_II_chunk_002,1,COURT DIMENSIONS—EQUIPMENT,II,Equipment,3,370
rule_02_section_I_chunk_003,2,OFFICIALS AND THEIR DUTIES,I,The Game Officials,4,137
rule_02_section_II_chunk_004,2,OFFICIALS AND THEIR DUTIES,II,Duties of the Officials,4,512
rule_02_section_II_chunk_005,2,OFFICIALS AND THEIR DUTIES,II,Duties of the Officials,4,196
rule_02_section_III_chunk_006,2,OFFICIALS AND THEIR DUTIES,III,Elastic Power,5,44
rule_02_section_IV_chunk_007,2,OFFICIALS AND THEIR DUTIES,IV,Different Decisions by Officials,5,320
rule_02_section_V_chunk_008,2,OFFICIALS AND THEIR DUTIES,V,Time and Place for Decisions,5,319
rule_02_section_VI_chunk_009,2,OFFICIALS AND THEIR DUTIES,VI,Correcting Errors,6,512
rule_02_section_VI_chunk_010,2,OFFICIALS AND THEIR DUTIES,VI,Correcting Errors,6,412
rule_02_section_VII_chunk_011,2,OFFICIALS AND THEIR DUTIES,VII,Duties of Scorers,7,512
rule_02_section_VII_chunk_012,2,OFFICIALS AND THEIR DUTIES,VII,Duties of Scorers,7,214
rule_02_section_VIII_chunk_013,2,OFFICIALS AND THEIR DUTIES,VIII,Duties of Timers,8,512
rule_02_section_VIII_chunk_014,2,OFFICIALS AND THEIR DUTIES,VIII,Duties of Timers,8,118
rule_03_section_I_chunk_015,3,"PLAYERS, SUBSTITUTES, AND COACHES",I,Team,9,308
rule_03_section_II_chunk_016,3,"PLAYERS, SUBSTITUTES, AND COACHES",II,Starting Line-Ups,10,58
rule_03_section_III_chunk_017,3,"PLAYERS, SUBSTITUTES, AND COACHES",III,The Captain,10,140
rule_03_section_IV_chunk_018,3,"PLAYERS, SUBSTITUTES, AND COACHES",IV,The Coach and Others,10,362
rule_03_section_V_chunk_019,3,"PLAYERS, SUBSTITUTES, AND COACHES",V,Substitutes,10,512
rule_03_section_V_chunk_020,3,"PLAYERS, SUBSTITUTES, AND COACHES",V,Substitutes,10,372
rule_03_section_VI_chunk_021,3,"PLAYERS, SUBSTITUTES, AND COACHES",VI,Uniforms,12,168
rule_04_section_I_chunk_022,4,DEFINITIONS,I,Basket/Backboard,12,181
rule_04_section_II_chunk_023,4,DEFINITIONS,II,Dribble,12,155
rule_04_section_III_chunk_024,4,DEFINITIONS,III,The Gather,12,187
rule_04_section_IV_chunk_025,4,DEFINITIONS,IV,Fouls,12,512
rule_04_section_IV_chunk_026,4,DEFINITIONS,IV,Fouls,12,204
rule_04_section_V_chunk_027,4,DEFINITIONS,V,Free Throw,13,49
rule_04_section_VI_chunk_028,4,DEFINITIONS,VI,Frontcourt/Backcourt,14,376
rule_04_section_VII_chunk_029,4,DEFINITIONS,VII,Held Ball,14,112
rule_04_section_VIII_chunk_030,4,DEFINITIONS,VIII,Pivot,14,128
rule_04_section_IX_chunk_031,4,DEFINITIONS,IX,Traveling,14,46
rule_04_section_X_chunk_032,4,DEFINITIONS,X,Screen,14,34
rule_04_section_XI_chunk_033,4,DEFINITIONS,XI,Field Goal Attempt,14,294
rule_04_section_XII_chunk_034,4,DEFINITIONS,XII,Throw-In,15,66
rule_04_section_XIII_chunk_035,4,DEFINITIONS,XIII,Last Two Minutes,15,29
rule_04_section_XIV_chunk_036,4,DEFINITIONS,XIV,Suspension of Play,15,244
rule_04_section_XV_chunk_037,4,DEFINITIONS,XV,Point of Interruption,15,26
rule_04_section_XVI_chunk_038,4,DEFINITIONS,XVI,Team Control,15,45
rule_04_section_XVII_chunk_039,4,DEFINITIONS,XVII,Team Possession,16,51
rule_04_section_XVIII_chunk_040,4,DEFINITIONS,XVIII,Fumble,16,79
rule_05_section_I_chunk_041,5,SCORING AND TIMING,I,Scoring,16,327
rule_05_section_II_chunk_042,5,SCORING AND TIMING,II,Timing,16,216
rule_05_section_III_chunk_043,5,SCORING AND TIMING,III,End of Period,17,267
rule_05_section_IV_chunk_044,5,SCORING AND TIMING,IV,Tie Score—Overtime,17,44
rule_05_section_V_chunk_045,5,SCORING AND TIMING,V,Stoppage of Timing Devices,17,107
rule_05_section_VI_chunk_046,5,SCORING AND TIMING,VI,Timeouts – Mandatory/Team,17,512
